145,herkömmlich,an’anaviy,odatdagi,klassik yondashuvga asoslangan
146,die Kommunikationsfähigkeit,muloqot qobiliyati,fikr almashish salohiyati,ifoda mahorati
147,substanziell verändern,mohiyat darajasida o‘zgartirmoq,jiddiy ta’sir ko‘rsatmoq,asosiy tarkibni yangilamoq
148,unter bestimmten Umständen,ma’lum sharoitlarda,ayrim vaziyatlarda,ehtimoliy holatda
149,kritisch hinterfragen,tanqidiy qayta ko‘rib chiqmoq,shubha bilan tahlil qilmoq,mantiqan tekshirmoq
150,die Kommunikationskompetenz,muloqot kompetensiyasi,ijtimoiy ifoda mahorati,samarali aloqa qobiliyati
151,präzise Analyse,aniq tahlil,nozik tafovutlarni ko‘rsatadigan tekshiruv,mantiqiy baholash
152,in Anlehnung an,asosida,shu modelga tayangan holda,o‘xshash tarzda
153,komplexe Zusammenhänge,murakkab bog‘liqliklar,ko‘p omilli aloqalar,chuqur munosabatlar
154,die Argumentationsstruktur,dalillash tizimi,mantiqiy asoslash tuzilmasi,fikr yuritish modeli
155,gravierende Folgen,jiddiy oqibatlar,kuchli salbiy natijalar,keskin ta’sirlar
156,demnach ableiten,shu asosda xulosa chiqarmoq,mantiqan natija hosil qilmoq,dalildan kelib chiqmoq
157,nachvollziehbare Erklärung,mantiqan tushunarli izoh,asoslangan tushuntirish,izchil sharh
158,die Einflussfaktoren,ta’sir omillari,natijani belgilovchi sabablar,asosiy faktorlar
159,mehrdimensional,ko‘p o‘lchovli,bir nechta jihatga ega,murakkab tuzilgan
160,nicht zwangsläufig,majburiy ravishda emas,har doim ham emas,muqarrar bo‘lmagan
161,analytische Fähigkeit,tahliliy qobiliyat,mantiqiy tekshirish salohiyati,chuqur fikrlash mahorati
162,die Problemstellung,qo‘yilgan muammo,tahlil qilinadigan masala,murakkab vaziyat
163,übergreifende Bedeutung,keng qamrovli ahamiyat,bir nechta sohaga taalluqli mazmun,umumiy muhimlik
164,folglich interpretieren,mantiqiy tarzda sharhlamoq,natijaga asoslanib talqin qilmoq,izchil ma’no chiqarmoq
165,plausible Argumentation,ishonarli dalillash,mantiqan asoslangan fikr yuritish,izchil bahs
166,die Gedankentiefe,fikr chuqurligi,analitik tafakkur darajasi,murakkab mushohada
167,wesentliche Erkenntnis,asosiy xulosa,muhim anglash,natijaviy tushuncha
168,in dieser Hinsicht,shu jihatdan qaraganda,mazkur nuqtayi nazardan,bunday holatda
169,strukturieren,tartibga solmoq,mantiqiy tizimlashtirmoq,rejalashtirmoq
170,die Kommunikationsbarriere,muloqot to‘sig‘i,aloqa muammosi,tushunmovchilik sababi
171,differenzierte Betrachtung,nozik tafovutlarni hisobga olgan tahlil,chuqur yondashuv,ko‘p tomonlama baholash
172,in diesem Fall,bu holatda,mazkur vaziyatda,shu sharoitda
173,erheblich beeinflussen,sezilarli darajada ta’sir qilmoq,natijani jiddiy o‘zgartirmoq,kuchli yo‘naltirmoq
174,die Problemlösungsfähigkeit,muammo yechish qobiliyati,analitik yechim topish mahorati,mantiqiy boshqaruv salohiyati
175,mehrperspektivisch,turli nuqtayi nazardan ko‘rib chiqilgan,ko‘p qarashli,har tomonlama
176,nicht eindeutig,aniq emas,bir ma’noli bo‘lmagan,turlicha talqin qilinadigan
177,argumentativ überzeugend,dalillar bilan ishontiruvchi,mantiqan kuchli asoslangan,ta’sirli fikr yurituvchi
178,die Selbstwahrnehmung,o‘zini idrok qilish,ichki anglash,shaxsiy tushuncha
179,nachhaltige Wirkung,uzoq muddatli ta’sir,barqaror natija,kelajakda ham seziladigan oqibat
180,im Vergleich dazu,bunga nisbatan,taqqoslaganda,qarama-qarshi holatda
181,präzise darstellen,aniq ifodalab bermoq,mantiqan ravshan ko‘rsatmoq,mazmunni ochiq yetkazmoq
182,die Reflexionsfähigkeit,o‘zini tahlil qilish qobiliyati,analitik mushohada salohiyati,ichki baholash mahorati
183,kontroverse Diskussion,bahsli muhokama,qarama-qarshi fikrlar almashinuvi,keskin tahlil
184,infolgedessen entstehen,natijada yuzaga kelmoq,mantiqiy oqibat sifatida paydo bo‘lmoq,bevosita hosil bo‘lmoq
185,differenzierte Ausdrucksweise,nozik ma’nolarni ifodalovchi nutq usuli,chuqur ifoda shakli,semantik boy til
186,die Schlussfolgerung ziehen,xulosa chiqarmoq,mantiqiy natijaga kelmoq,dalildan qaror hosil qilmoq
187,subjektive Einschätzung,shaxsiy baholash,subyektiv fikr,mustaqil qarash
188,in theoretischer Hinsicht,nazariy jihatdan,ilmiy nuqtayi nazardan,mantiqiy asosda
189,präzise argumentieren,aniq va mantiqli dalillamoq,izchil asoslab gapirmoq,nozik tafovutlarni ko‘rsatib fikr yuritmoq
190,die Analysefähigkeit,tahlil qilish qobiliyati,mantiqiy tekshirish mahorati,analitik fikrlash
191,vielseitige Perspektive,ko‘p qirrali qarash,turli nuqtayi nazar,har tomonlama yondashuv
192,dementsprechend reagieren,mos ravishda javob qaytarmoq,mantiqiy natijaga ko‘ra harakat qilmoq,shunga muvofiq munosabat bildirmoq
193,komplexe Argumentation,murakkab dalillash tizimi,ko‘p qatlamli fikr yuritish,analitik bahs
194,die Interpretationsebene,talqin darajasi,ma’no chiqarish bosqichi,sharhlash qatlami
195,gravierender Unterschied,jiddiy farq,sezilarli tafovut,muhim o‘zgarish
196,in Bezug auf,ga nisbatan,shu masalaga oid,bilan bog‘liq holda
197,analytisch denken,tahliliy fikrlamoq,mantiqan mushohada yuritmoq,chuqur tahlil qilmoq
198,die Argumentationskompetenz,dalillash kompetensiyasi,mantiqiy fikr yuritish mahorati,bahs olib borish salohiyati
199,nachhaltig beeinflussen,uzoq muddatli ta’sir ko‘rsatmoq,barqaror o‘zgarish yaratmoq,kelajakni shakllantirmoq
200,plausibel begründen,mantiqan asoslab tushuntirmoq,ishonarli tarzda dalillamoq,izchil izoh bermoq
201,die Polarisierung,jamiyatning keskin ikki qarashga bo‘linishi,fikrlar qarama-qarshiligi,ijtimoiy ajralish
202,manipulativ,ongli ravishda ta’sir o‘tkazuvchi,fikrni yashirin boshqaruvchi,psixologik yo‘naltiruvchi
203,die Berichterstattung,axborot yoritilishi,media orqali voqeani bayon qilish,jurnalistik tasvirlash
204,folgenschwer,jiddiy oqibatlarga olib keluvchi,kuchli ta’sirli,muhim natijali
205,die Meinungsfreiheit,fikr bildirish erkinligi,so‘z erkinligi,qarashni ochiq ifodalash ҳуқуқi
206,ideologisch,mafkura asosida shakllangan,siyosiy qarashga bog‘liq,bir tomonlama yo‘naltirilgan
207,die Einflussnahme,ongli ta’sir ko‘rsatish,jamoatchilik fikrini boshqarish,yo‘naltirilgan aralashuv
208,kontrovers diskutieren,keskin bahs yuritmoq,qarama-qarshi fikrlarni muhokama qilmoq,bahsli tahlil olib bormoq
209,die Öffentlichkeit,jamoatchilik,ommaviy maydon,ijtimoiy e’tibor doirasi
210,irreführend,chalg‘ituvchi,noto‘g‘ri tasavvur uyg‘otuvchi,haqiqatni buzib ko‘rsatuvchi
211,die Wahrnehmungsverzerrung,idrok buzilishi,haqiqatni noto‘g‘ri qabul qilish,subyektiv noto‘g‘ri tasavvur
212,folglich ableiten,mantiqan xulosa chiqarmoq,natijani asoslab hosil qilmoq,dalildan kelib chiqmoq
213,die Meinungsbildung,fikr shakllanishi,qarash hosil qilish jarayoni,ijtimoiy pozitsiya rivojlanishi
214,subjektiv geprägt,shaxsiy qarash ta’sirida shakllangan,bir tomonlama yo‘naltirilgan,subyektiv rang berilgan
215,die Informationsquelle,axborot manbai,ma’lumot kelib chiqadigan joy,ishonchli resurs
216,in diesem Kontext,shu kontekstda,mazkur bog‘liqlik doirasida,mantiqiy aloqada
217,die Berücksichtigung,e’tiborga olish,hisobga olish jarayoni,omillarni nazarda tutish
218,medial beeinflussen,media orqali ta’sir qilmoq,axborot bilan yo‘naltirmoq,jamoatchilik fikrini shakllantirmoq
219,die Darstellung,ifodalash shakli,tasvirlash usuli,mazmunni bayon qilish
220,fragwürdig,shubhali,mantiqan ishonchsiz,bahs uyg‘otuvchi
221,die Glaubwürdigkeit,ishonchlilik,haqiqatga moslik,obro‘ darajasi
222,gezielt steuern,aniq maqsad bilan boshqarmoq,ongli ravishda yo‘naltirmoq,strategik nazorat qilmoq
223,die Manipulation,ongli aldov,fikrni yashirin boshqarish,psixologik ta’sir usuli
224,gesellschaftlich relevant,jamiyat uchun muhim,ijtimoiy ahamiyatga ega,ommaviy ta’sirli
225,die Informationsflut,haddan tashqari ko‘p axborot oqimi,ma’lumot bosimi,ortiqcha informatsiya
226,nicht eindeutig interpretierbar,bir ma’noli sharhlab bo‘lmaydigan,turlicha talqin qilinadigan,aniq bo‘lmagan
227,die Medienlandschaft,media muhiti,axborot tizimlari majmui,jurnalistik maydon
228,emotional aufgeladen,kuchli hissiy ta’sirga ega,emotsional jihatdan keskin,ruhiy bosim uyg‘otuvchi
229,die Einflusskraft,ta’sir kuchi,jamoatchilikka bosim o‘tkazish salohiyati,yo‘naltirish quvvati
230,im gesellschaftlichen Diskurs,jamoatchilik muhokamasida,ijtimoiy bahs doirasida,ommaviy fikr maydonida
231,die Verzerrung,buzib ko‘rsatish,haqiqatni noto‘g‘ri aks ettirish,subyektiv og‘ish
232,argumentativ untermauern,dalillar bilan mustahkamlamoq,mantiqan kuchaytirmoq,asoslab qo‘llab-quvvatlamoq
233,die Medienkompetenz,media savodxonligi,axborotni tanqidiy tushunish qobiliyati,analitik media idroki
234,gesellschaftspolitisch,jamiyat va siyosatga oid,ijtimoiy-siyosiy,ommaviy boshqaruv bilan bog‘liq
235,die Berichterstattung beeinflussen,axborot yoritilishini yo‘naltirmoq,media tasvirini boshqarmoq,jurnalistik talqinga ta’sir qilmoq
236,unter medialem Druck,media bosimi ostida,jamoatchilik e’tibori ta’sirida,axborot nazorati ostida
237,die Deutungsweise,talqin qilish usuli,mazmun chiqarish shakli,sharhlash modeli
238,gezielte Einflussnahme,maqsadli ta’sir o‘tkazish,ongli boshqaruv,strategik yo‘naltirish
239,die Meinungsverschiedenheit,fikrlar kelishmovchiligi,qarashlar to‘qnashuvi,bahsli tafovut
240,kritisch beleuchten,tanqidiy yoritmoq,har tomonlama tekshirmoq,zaif tomonlarini ochmoq
241,die Informationspolitik,axborot siyosati,media boshqaruvi strategiyasi,ma’lumot tarqatish usuli
242,gesellschaftliche Verantwortung,ijtimoiy mas’uliyat,jamiyat oldidagi javobgarlik,ommaviy burch
243,die Wahrnehmung beeinflussen,idrokni shakllantirmoq,qarashga ta’sir qilmoq,subyektiv fikr hosil qilmoq
244,medial präsent bo‘lmoq,media maydonida faol ko‘rinmoq,ommaviy axborotda aks etmoq,jamoatchilik oldida chiqmoq
245,die Informationsverarbeitung,axborotni qayta ishlash jarayoni,ma’lumotni tahlil qilish,analitik qabul qilish
246,widersprüchliche Darstellung,zid tasvirlash,qarama-qarshi ma’lumot berish,bir-biriga mos kelmaydigan ifoda
247,die öffentliche Meinung,jamoatchilik fikri,ommaviy qarash,ijtimoiy munosabat
248,gesellschaftliche Entwicklung,ijtimoiy rivojlanish,jamiyat taraqqiyoti,ommaviy o‘zgarish
249,die Einflussmöglichkeit,ta’sir ko‘rsatish imkoniyati,jamoatchilikni boshqarish salohiyati,yo‘naltirish imkoniyati
250,selektiv berichten,tanlab yoritmoq,faqat ayrim jihatlarni ko‘rsatmoq,axborotni saralab berish
251,die Informationsweitergabe,axborotni uzatish jarayoni,ma’lumot tarqatish,informatsion almashinuv
252,manipulativ wirken,yashirin ravishda ta’sir qilmoq,fikrni boshqarmoq,psixologik yo‘naltirmoq
253,die gesellschaftliche Debatte,ijtimoiy bahs,jamoatchilik muhokamasi,ommaviy tortishuv
254,einseitig darstellen,bir tomonlama ko‘rsatmoq,muqobil qarashlarni yashirmoq,subyektiv yoritmoq
255,die Informationsbeschaffung,axborot to‘plash jarayoni,ma’lumot izlash,manbalarni yig‘ish
256,gesellschaftlich akzeptiert,jamiyat tomonidan qabul qilingan,ommaviy ma’qullangan,ijtimoiy mos
257,die Manipulationsgefahr,manipulyatsiya xavfi,ongli aldov ehtimoli,psixologik ta’sir tahdidi
258,die Berichterstattung prägen,media yoritilishini shakllantirmoq,jurnalistik uslubni belgilamoq,axborot oqimiga ta’sir qilmoq
259,die Informationsgesellschaft,axborot jamiyati,media markazli ijtimoiy tizim,raqamli jamiyat
260,gesellschaftlich umstritten,jamiyatda bahsli,turli qarashlarga sabab bo‘luvchi,keskin muhokamali
261,die Einflussstrategie,ta’sir strategiyasi,jamoatchilikni boshqarish usuli,yo‘naltirish modeli
262,kritisch analysieren,tanqidiy tahlil qilmoq,mantiqan tekshirmoq,zaif tomonlarini ko‘rsatmoq
263,die Informationsbewertung,axborotni baholash,ma’lumot ishonchliligini tekshirish,analitik saralash
264,mediale Präsenz,media maydonidagi ko‘rinish,jamoatchilikdagi aks etish,ommaviy e’tibor
265,die Wahrnehmung steuern,idrokni boshqarmoq,qarashni yo‘naltirmoq,subyektiv ta’sir ko‘rsatmoq
266,politisch motiviert,siyosiy maqsad bilan yo‘naltirilgan,mafkuraviy asoslangan,strategik boshqarilgan
267,die Informationsmanipulation,axborot manipulyatsiyasi,ma’lumotni ongli buzish,psixologik media ta’siri
268,gesellschaftliche Spannungen,ijtimoiy keskinliklar,jamiyatdagi qarama-qarshiliklar,ommaviy bosim
269,die mediale Darstellung,media orqali ifodalash,jurnalistik tasvirlash,ommaviy bayon
270,kontrovers wahrgenommen,bahsli tarzda qabul qilingan,turlicha talqin qilingan,jamiyatda zid munosabat uyg‘otgan
271,die Informationskompetenz,axborot savodxonligi,ma’lumotni tahlil qilish qobiliyati,media idroki
272,emotionale Wirkung,hissiy ta’sir,ruhiy aks ta’sir,emotsional reaksiyani uyg‘otish
273,die öffentliche Wahrnehmung,jamoatchilik idroki,ommaviy qarash,ijtimoiy tasavvur
