word,type,level,translation,article,plural,preteritum,partizip_ii,positiv,komparativ,superlativ,example
Sprache,Nomen,A1,til,die,die Sprachen,,,,,,Deutsch ist eine schwere Sprache.
Farbe,Nomen,A1,rang,die,die Farben,,,,,,Meine Lieblingsfarbe ist Blau.
Hand,Nomen,A1,qo'l,die,die Hände,,,,,,Ich habe zwei Hände.
Fuß,Nomen,A1,oyoq,der,die Füße,,,,,,Mein Fuß tut weh.
Kopf,Nomen,A1,bosh,der,die Köpfe,,,,,,Mein Kopf tut weh.
Auge,Nomen,A1,ko'z,das,die Augen,,,,,,Sie hat blaue Augen.
Ohr,Nomen,A1,quloq,das,die Ohren,,,,,,Er hört gut mit dem Ohr.
Nase,Nomen,A1,burun,die,die Nasen,,,,,,Seine Nase ist rot.
Mund,Nomen,A1,og'iz,der,die Münder,,,,,,Öffne bitte den Mund.
Hund,Nomen,A1,it,der,die Hunde,,,,,,Der Hund bellt laut.
Katze,Nomen,A1,mushuk,die,die Katzen,,,,,,Die Katze schläft auf dem Sofa.
Wohnung,Nomen,A2,kvartira,die,die Wohnungen,,,,,,Meine Wohnung liegt im Zentrum.
Nachbar,Nomen,A2,qo'shni,der,die Nachbarn,,,,,,Mein Nachbar ist sehr freundlich.
Gast,Nomen,A2,mehmon,der,die Gäste,,,,,,Wir haben heute Abend Gäste.
Urlaub,Nomen,A2,ta'til,der,die Urlaube,,,,,,Wir fahren im Sommer in den Urlaub.
Reise,Nomen,A2,sayohat,die,die Reisen,,,,,,Die Reise nach Deutschland war schön.
Koffer,Nomen,A2,chamadon,der,die Koffer,,,,,,Mein Koffer ist zu schwer.
Flughafen,Nomen,A2,aeroport,der,die Flughäfen,,,,,,Der Flughafen ist weit von der Stadt.
Bahnhof,Nomen,A2,vokzal,der,die Bahnhöfe,,,,,,Der Zug fährt vom Bahnhof ab.
Fahrkarte,Nomen,A2,chipta,die,die Fahrkarten,,,,,,Ich kaufe eine Fahrkarte.
Rechnung,Nomen,A2,hisob-kitob,die,die Rechnungen,,,,,,Kann ich bitte die Rechnung haben?
Kellner,Nomen,A2,ofitsiant,der,die Kellner,,,,,,Der Kellner bringt das Essen.
Restaurant,Nomen,A2,restoran,das,die Restaurants,,,,,,Wir essen heute im Restaurant.
Speisekarte,Nomen,A2,menyu,die,die Speisekarten,,,,,,Die Speisekarte ist auf Deutsch.
Krankenhaus,Nomen,A2,kasalxona,das,die Krankenhäuser,,,,,,Er liegt im Krankenhaus.
Arzt,Nomen,A2,shifokor,der,die Ärzte,,,,,,Der Arzt untersucht den Patienten.
Apotheke,Nomen,A2,dorixona,die,die Apotheken,,,,,,Die Apotheke ist um die Ecke.
Medikament,Nomen,A2,dori,das,die Medikamente,,,,,,Nimm dieses Medikament dreimal täglich.
Termin,Nomen,A2,uchrashuv vaqti,der,die Termine,,,,,,Ich habe einen Termin beim Arzt.
Beruf,Nomen,A2,kasb,der,die Berufe,,,,,,Was ist dein Beruf?
Firma,Nomen,A2,firma,die,die Firmen,,,,,,Er arbeitet bei einer großen Firma.
Kollege,Nomen,A2,hamkasb,der,die Kollegen,,,,,,Mein Kollege hilft mir oft.
Chef,Nomen,A2,boshliq,der,die Chefs,,,,,,Mein Chef ist sehr streng.
Gehalt,Nomen,A2,maosh,das,die Gehälter,,,,,,Das Gehalt ist nicht sehr hoch.
Bewerbung,Nomen,A2,ariza (ish uchun),die,die Bewerbungen,,,,,,Ich schreibe eine Bewerbung.
Zeugnis,Nomen,A2,guvohnoma,das,die Zeugnisse,,,,,,Mein Zeugnis war sehr gut.
Prüfung,Nomen,A2,imtihon,die,die Prüfungen,,,,,,Die Prüfung war schwer.
Note,Nomen,A2,baho,die,die Noten,,,,,,Ich habe eine gute Note bekommen.
Universität,Nomen,A2,universitet,die,die Universitäten,,,,,,Er studiert an der Universität.
Student,Nomen,A2,talaba,der,die Studenten,,,,,,Der Student lernt für die Prüfung.
Sonne,Nomen,A2,quyosh,die,die Sonnen,,,,,,Die Sonne scheint heute hell.
Wolke,Nomen,A2,bulut,die,die Wolken,,,,,,Der Himmel ist voller Wolken.
Wind,Nomen,A2,shamol,der,die Winde,,,,,,Der Wind ist heute sehr stark.
Jahreszeit,Nomen,A2,fasl,die,die Jahreszeiten,,,,,,Der Frühling ist meine Lieblingsjahreszeit.
Feiertag,Nomen,A2,bayram,der,die Feiertage,,,,,,Morgen ist ein Feiertag.
Geschenk,Nomen,A2,sovg'a,das,die Geschenke,,,,,,Ich habe ein schönes Geschenk bekommen.
Geburtstag,Nomen,A2,tug'ilgan kun,der,die Geburtstage,,,,,,Heute ist mein Geburtstag.
Hochzeit,Nomen,A2,to'y,die,die Hochzeiten,,,,,,Die Hochzeit findet im Juni statt.
Nachricht,Nomen,A2,xabar,die,die Nachrichten,,,,,,Ich habe eine wichtige Nachricht bekommen.
Zeitung,Nomen,A2,gazeta,die,die Zeitungen,,,,,,Mein Vater liest jeden Tag die Zeitung.
Fernseher,Nomen,A2,televizor,der,die Fernseher,,,,,,Der Fernseher steht im Wohnzimmer.
Computer,Nomen,A2,kompyuter,der,die Computer,,,,,,Ich arbeite viel am Computer.
Handy,Nomen,A2,mobil telefon,das,die Handys,,,,,,Mein Handy ist kaputt.
Meinung,Nomen,A2,fikr,die,die Meinungen,,,,,,Das ist nur meine Meinung.
Idee,Nomen,A2,g'oya,die,die Ideen,,,,,,Das ist eine gute Idee.
Grund,Nomen,A2,sabab,der,die Gründe,,,,,,Was ist der Grund für deine Entscheidung?
Problem,Nomen,A2,muammo,das,die Probleme,,,,,,Wir haben ein großes Problem.
Lösung,Nomen,A2,yechim,die,die Lösungen,,,,,,Ich habe eine Lösung gefunden.
Erfahrung,Nomen,A2,tajriba,die,die Erfahrungen,,,,,,Ich habe viel Erfahrung in diesem Bereich.
Entscheidung,Nomen,A2,qaror,die,die Entscheidungen,,,,,,Das war eine schwere Entscheidung.
Gefühl,Nomen,A2,tuyg'u,das,die Gefühle,,,,,,Ich habe ein komisches Gefühl.
Wunsch,Nomen,A2,istak,der,die Wünsche,,,,,,Das ist mein größter Wunsch.
Gesellschaft,Nomen,B1,jamiyat,die,die Gesellschaften,,,,,,Das ist ein Problem der modernen Gesellschaft.
Regierung,Nomen,B1,hukumat,die,die Regierungen,,,,,,Die Regierung hat ein neues Gesetz beschlossen.
Gesetz,Nomen,B1,qonun,das,die Gesetze,,,,,,Das neue Gesetz tritt im Januar in Kraft.
Wirtschaft,Nomen,B1,iqtisodiyot,die,die Wirtschaften,,,,,,Die Wirtschaft wächst langsam.
Industrie,Nomen,B1,sanoat,die,die Industrien,,,,,,Die Industrie schafft viele Arbeitsplätze.
Entwicklung,Nomen,B1,rivojlanish,die,die Entwicklungen,,,,,,Die technische Entwicklung geht schnell voran.
Bevölkerung,Nomen,B1,aholi,die,die Bevölkerungen,,,,,,Die Bevölkerung der Stadt wächst.
Kultur,Nomen,B1,madaniyat,die,die Kulturen,,,,,,Jede Kultur hat eigene Traditionen.
Tradition,Nomen,B1,an'ana,die,die Traditionen,,,,,,Diese Tradition ist sehr alt.
Religion,Nomen,B1,din,die,die Religionen,,,,,,Er interessiert sich für verschiedene Religionen.
Wissenschaft,Nomen,B1,fan,die,die Wissenschaften,,,,,,Sie arbeitet in der Wissenschaft.
Forschung,Nomen,B1,tadqiqot,die,die Forschungen,,,,,,Die Forschung dauert mehrere Jahre.
Technik,Nomen,B1,texnika,die,die Techniken,,,,,,Die moderne Technik verändert unser Leben.
Maschine,Nomen,B1,mexanizm,die,die Maschinen,,,,,,Diese Maschine ist sehr modern.
Energie,Nomen,B1,energiya,die,die Energien,,,,,,Wir müssen Energie sparen.
Ressource,Nomen,B1,resurs,die,die Ressourcen,,,,,,Natürliche Ressourcen sind begrenzt.
Klima,Nomen,B1,iqlim,das,die Klimas,,,,,,Das Klima verändert sich.
Katastrophe,Nomen,B1,falokat,die,die Katastrophen,,,,,,Das Erdbeben war eine große Katastrophe.
Möglichkeit,Nomen,B1,imkoniyat,die,die Möglichkeiten,,,,,,Es gibt viele Möglichkeiten.
Verantwortung,Nomen,B1,mas'uliyat,die,die Verantwortungen,,,,,,Er trägt die Verantwortung für das Projekt.
Beziehung,Nomen,B1,munosabat,die,die Beziehungen,,,,,,Sie haben eine gute Beziehung.
Konflikt,Nomen,B1,ziddiyat,der,die Konflikte,,,,,,Der Konflikt dauert schon lange.
Herausforderung,Nomen,B1,qiyinchilik,die,die Herausforderungen,,,,,,Das ist eine große Herausforderung.
Fortschritt,Nomen,B1,taraqqiyot,der,die Fortschritte,,,,,,Der technische Fortschritt ist enorm.
Wert,Nomen,B1,qiymat,der,die Werte,,,,,,Dieser Ring hat einen hohen Wert.
Vorteil,Nomen,B1,afzallik,der,die Vorteile,,,,,,Das hat viele Vorteile.
Nachteil,Nomen,B1,kamchilik,der,die Nachteile,,,,,,Jede Lösung hat auch Nachteile.
Unterschied,Nomen,B1,farq,der,die Unterschiede,,,,,,Der Unterschied ist sehr groß.
Auswirkung,Nomen,B2,oqibat,die,die Auswirkungen,,,,,,Das hat große Auswirkungen auf die Umwelt.
Voraussetzung,Nomen,B2,shart,die,die Voraussetzungen,,,,,,Gute Deutschkenntnisse sind eine Voraussetzung.
Konsequenz,Nomen,B2,oqibat,die,die Konsequenzen,,,,,,Er muss die Konsequenzen tragen.
Perspektive,Nomen,B2,nuqtai nazar,die,die Perspektiven,,,,,,Aus dieser Perspektive sieht es anders aus.
Wahrnehmung,Nomen,B2,idrok,die,die Wahrnehmungen,,,,,,Die Wahrnehmung der Menschen ist unterschiedlich.
Widerspruch,Nomen,B2,ziddiyat (mantiqiy),der,die Widersprüche,,,,,,Das ist ein klarer Widerspruch.
Annahme,Nomen,B2,taxmin,die,die Annahmen,,,,,,Das ist nur eine Annahme.
Vermutung,Nomen,B2,taxmin,die,die Vermutungen,,,,,,Meine Vermutung war richtig.
Tatsache,Nomen,B2,haqiqat,die,die Tatsachen,,,,,,Das ist eine bekannte Tatsache.
Behauptung,Nomen,B2,da'vo,die,die Behauptungen,,,,,,Diese Behauptung ist falsch.
Argument,Nomen,B2,dalil,das,die Argumente,,,,,,Er hat ein gutes Argument.
Debatte,Nomen,B2,bahs,die,die Debatten,,,,,,Die Debatte war sehr lebhaft.
Kompromiss,Nomen,B2,murosa,der,die Kompromisse,,,,,,Sie haben einen Kompromiss gefunden.
Vereinbarung,Nomen,B2,kelishuv,die,die Vereinbarungen,,,,,,Wir haben eine Vereinbarung getroffen.
Verhandlung,Nomen,B2,muzokara,die,die Verhandlungen,,,,,,Die Verhandlungen waren erfolgreich.
Maßnahme,Nomen,B2,chora-tadbir,die,die Maßnahmen,,,,,,Die Regierung ergreift neue Maßnahmen.
Strategie,Nomen,B2,strategiya,die,die Strategien,,,,,,Wir brauchen eine neue Strategie.
Struktur,Nomen,B2,tuzilma,die,die Strukturen,,,,,,Die Struktur des Unternehmens ist komplex.
Erkenntnis,Nomen,C1,xulosa,die,die Erkenntnisse,,,,,,Das ist eine wichtige wissenschaftliche Erkenntnis.
Tendenz,Nomen,C1,tendensiya,die,die Tendenzen,,,,,,Es gibt eine klare Tendenz zur Digitalisierung.
Prognose,Nomen,C1,bashorat,die,die Prognosen,,,,,,Die Prognose war leider falsch.
Auseinandersetzung,Nomen,C1,bahs-munozara,die,die Auseinandersetzungen,,,,,,Es gab eine heftige Auseinandersetzung.
Bestandteil,Nomen,C1,tarkibiy qism,der,die Bestandteile,,,,,,Musik ist ein wichtiger Bestandteil der Kultur.
Grundlage,Nomen,C1,asos,die,die Grundlagen,,,,,,Das bildet die Grundlage unserer Arbeit.
Vorurteil,Nomen,C1,noto'g'ri qarash,das,die Vorurteile,,,,,,Wir sollten Vorurteile vermeiden.
Ungleichheit,Nomen,C1,tengsizlik,die,die Ungleichheiten,,,,,,Die soziale Ungleichheit wächst.
Reform,Nomen,C1,islohot,die,die Reformen,,,,,,Die Regierung plant wichtige Reformen.
Instanz,Nomen,C1,instansiya,die,die Instanzen,,,,,,Das Gericht ist die höchste Instanz.
Ambivalenz,Nomen,C2,ikkilanish,die,die Ambivalenzen,,,,,,Seine Ambivalenz gegenüber dem Thema ist deutlich.
Diskrepanz,Nomen,C2,nomuvofiqlik,die,die Diskrepanzen,,,,,,Es gibt eine Diskrepanz zwischen Theorie und Praxis.
Implikation,Nomen,C2,oqibat,die,die Implikationen,,,,,,Die Implikationen dieser Entscheidung sind weitreichend.
Paradigma,Nomen,C2,paradigma,das,die Paradigmen,,,,,,Das ist ein neues wissenschaftliches Paradigma.
Nuance,Nomen,C2,nozik farq,die,die Nuancen,,,,,,Er versteht die feinen Nuancen der Sprache.
Prämisse,Nomen,C2,asos (mantiqiy),die,die Prämissen,,,,,,Diese Prämisse ist nicht korrekt.
Dichotomie,Nomen,C2,ikkilik,die,die Dichotomien,,,,,,Die Dichotomie zwischen Stadt und Land verschwindet.
sein,Verb,A1,bo'lmoq,,,war,ist gewesen,,,,Ich bin müde.
haben,Verb,A1,ega bo'lmoq,,,hatte,hat gehabt,,,,Ich habe ein Auto.
werden,Verb,A1,bo'lib qolmoq,,,wurde,ist geworden,,,,Er wird Arzt.
gehen,Verb,A1,bormoq,,,ging,ist gegangen,,,,Ich gehe jeden Tag zur Arbeit.
kommen,Verb,A1,kelmoq,,,kam,ist gekommen,,,,Er kommt aus Deutschland.
machen,Verb,A1,qilmoq,,,machte,hat gemacht,,,,Was machst du gerade?
sagen,Verb,A1,aytmoq,,,sagte,hat gesagt,,,,Er sagt die Wahrheit.
sehen,Verb,A1,ko'rmoq,,,sah,hat gesehen,,,,Ich sehe einen Vogel.
sprechen,Verb,A1,gapirmoq,,,sprach,hat gesprochen,,,,Sie spricht Deutsch.
wissen,Verb,A1,bilmoq,,,wusste,hat gewusst,,,,Ich weiß die Antwort nicht.
geben,Verb,A1,bermoq,,,gab,hat gegeben,,,,Kannst du mir das Buch geben?
finden,Verb,A1,topmoq,,,fand,hat gefunden,,,,Ich finde meinen Schlüssel nicht.
denken,Verb,A1,o'ylamoq,,,dachte,hat gedacht,,,,Ich denke oft an dich.
bleiben,Verb,A1,qolmoq,,,blieb,ist geblieben,,,,Wir bleiben zu Hause.
liegen,Verb,A1,yotmoq,,,lag,hat gelegen,,,,Das Buch liegt auf dem Tisch.
stehen,Verb,A1,turmoq,,,stand,hat gestanden,,,,Er steht vor der Tür.
essen,Verb,A1,ovqatlanmoq,,,aß,hat gegessen,,,,Wir essen um sechs Uhr.
trinken,Verb,A1,ichmoq,,,trank,hat getrunken,,,,Er trinkt gern Tee.
spielen,Verb,A1,o'ynamoq,,,spielte,hat gespielt,,,,Die Kinder spielen im Garten.
lernen,Verb,A1,o'rganmoq,,,lernte,hat gelernt,,,,Ich lerne Deutsch.
arbeiten,Verb,A1,ishlamoq,,,arbeitete,hat gearbeitet,,,,Mein Vater arbeitet viel.
wohnen,Verb,A1,yashamoq,,,wohnte,hat gewohnt,,,,Ich wohne in Taschkent.
kaufen,Verb,A1,sotib olmoq,,,kaufte,hat gekauft,,,,Ich kaufe Brot im Supermarkt.
lesen,Verb,A1,o'qimoq,,,las,hat gelesen,,,,Er liest ein Buch.
schreiben,Verb,A1,yozmoq,,,schrieb,hat geschrieben,,,,Sie schreibt einen Brief.
hören,Verb,A1,eshitmoq,,,hörte,hat gehört,,,,Ich höre gern Musik.
fragen,Verb,A1,so'ramoq,,,fragte,hat gefragt,,,,Er fragt den Lehrer.
antworten,Verb,A1,javob bermoq,,,antwortete,hat geantwortet,,,,Sie antwortet sofort.
verstehen,Verb,A1,tushunmoq,,,verstand,hat verstanden,,,,Ich verstehe die Frage nicht.
kennen,Verb,A1,tanimoq,,,kannte,hat gekannt,,,,Ich kenne diesen Mann nicht.
mögen,Verb,A1,yoqtirmoq,,,mochte,hat gemocht,,,,Ich mag Schokolade.
wollen,Verb,A1,xohlamoq,,,wollte,hat gewollt,,,,Ich will nach Hause gehen.
können,Verb,A1,qila olmoq,,,konnte,hat gekonnt,,,,Ich kann gut schwimmen.
müssen,Verb,A1,majbur bo'lmoq,,,musste,hat gemusst,,,,Ich muss jetzt gehen.
dürfen,Verb,A1,ruxsati bo'lmoq,,,durfte,hat gedurft,,,,Ich darf hier parken.
sollen,Verb,A1,kerak bo'lmoq,,,sollte,hat gesollt,,,,Du sollst mehr lernen.
fahren,Verb,A1,haydamoq; transportda bormoq,,,fuhr,ist gefahren,,,,Wir fahren mit dem Auto.
laufen,Verb,A1,yugurmoq,,,lief,ist gelaufen,,,,Er läuft jeden Morgen.
schlafen,Verb,A1,uxlamoq,,,schlief,hat geschlafen,,,,Das Kind schläft schon.
heißen,Verb,A1,nomlanmoq,,,hieß,hat geheißen,,,,Ich heiße Ali.
leben,Verb,A1,yashamoq,,,lebte,hat gelebt,,,,Meine Großeltern leben auf dem Land.
öffnen,Verb,A1,ochmoq,,,öffnete,hat geöffnet,,,,Bitte öffne das Fenster.
schließen,Verb,A1,yopmoq,,,schloss,hat geschlossen,,,,Ich schließe die Tür.
beginnen,Verb,A1,boshlamoq,,,begann,hat begonnen,,,,Der Unterricht beginnt um neun.
helfen,Verb,A1,yordam bermoq,,,half,hat geholfen,,,,Kannst du mir helfen?
nehmen,Verb,A1,olmoq,,,nahm,hat genommen,,,,Ich nehme den Bus.
bringen,Verb,A1,olib kelmoq,,,brachte,hat gebracht,,,,Bring mir bitte ein Glas Wasser.
zeigen,Verb,A1,ko'rsatmoq,,,zeigte,hat gezeigt,,,,Zeig mir bitte den Weg.
warten,Verb,A1,kutmoq,,,wartete,hat gewartet,,,,Ich warte auf den Bus.
anfangen,Verb,A2,boshlamoq,,,fing an,hat angefangen,,,,Der Film fängt um acht Uhr an.
aufhören,Verb,A2,to'xtatmoq,,,hörte auf,hat aufgehört,,,,Der Regen hört endlich auf.
aufstehen,Verb,A2,uyg'onib turmoq,,,stand auf,ist aufgestanden,,,,Ich stehe jeden Tag um sieben Uhr auf.
einkaufen,Verb,A2,xarid qilmoq,,,kaufte ein,hat eingekauft,,,,Wir kaufen am Samstag ein.
anrufen,Verb,A2,qo'ng'iroq qilmoq,,,rief an,hat angerufen,,,,Ich rufe dich später an.
besuchen,Verb,A2,tashrif buyurmoq,,,besuchte,hat besucht,,,,Wir besuchen unsere Großeltern.
bezahlen,Verb,A2,to'lamoq,,,bezahlte,hat bezahlt,,,,Kann ich mit Karte bezahlen?
bestellen,Verb,A2,buyurtma bermoq,,,bestellte,hat bestellt,,,,Ich bestelle einen Kaffee.
brauchen,Verb,A2,kerak bo'lmoq,,,brauchte,hat gebraucht,,,,Ich brauche deine Hilfe.
duschen,Verb,A2,dush qabul qilmoq,,,duschte,hat geduscht,,,,Ich dusche jeden Morgen.
erklären,Verb,A2,tushuntirmoq,,,erklärte,hat erklärt,,,,Der Lehrer erklärt die Regel.
erzählen,Verb,A2,hikoya qilmoq,,,erzählte,hat erzählt,,,,Erzähl mir bitte deine Geschichte.
fehlen,Verb,A2,yetishmaslik,,,fehlte,hat gefehlt,,,,Mir fehlt die Zeit.
feiern,Verb,A2,nishonlamoq,,,feierte,hat gefeiert,,,,Wir feiern seinen Geburtstag.
fliegen,Verb,A2,uchmoq,,,flog,ist geflogen,,,,Wir fliegen nach Deutschland.
gefallen,Verb,A2,yoqmoq,,,gefiel,hat gefallen,,,,Die Stadt gefällt mir sehr.
gehören,Verb,A2,tegishli bo'lmoq,,,gehörte,hat gehört,,,,Dieses Buch gehört mir.
gewinnen,Verb,A2,yutmoq,,,gewann,hat gewonnen,,,,Unsere Mannschaft hat gewonnen.
verlieren,Verb,A2,yo'qotmoq,,,verlor,hat verloren,,,,Ich habe meinen Schlüssel verloren.
heiraten,Verb,A2,turmush qurmoq,,,heiratete,hat geheiratet,,,,Sie heiraten im Sommer.
klingen,Verb,A2,jaranglamoq,,,klang,hat geklungen,,,,Das klingt gut.
kochen,Verb,A2,ovqat pishirmoq,,,kochte,hat gekocht,,,,Meine Mutter kocht sehr gut.
lachen,Verb,A2,kulmoq,,,lachte,hat gelacht,,,,Die Kinder lachen laut.
mieten,Verb,A2,ijaraga olmoq,,,mietete,hat gemietet,,,,Wir mieten eine Wohnung.
parken,Verb,A2,to'xtatmoq (mashina),,,parkte,hat geparkt,,,,Ich parke das Auto vor dem Haus.
planen,Verb,A2,rejalashtirmoq,,,plante,hat geplant,,,,Wir planen eine Reise.
putzen,Verb,A2,tozalamoq,,,putzte,hat geputzt,,,,Ich putze am Wochenende die Wohnung.
reisen,Verb,A2,sayohat qilmoq,,,reiste,ist gereist,,,,Wir reisen gern nach Europa.
reparieren,Verb,A2,ta'mirlamoq,,,reparierte,hat repariert,,,,Er repariert das Auto.
schenken,Verb,A2,sovg'a qilmoq,,,schenkte,hat geschenkt,,,,Ich schenke ihr Blumen.
schicken,Verb,A2,jo'natmoq,,,schickte,hat geschickt,,,,Ich schicke dir eine E-Mail.
schneiden,Verb,A2,kesmoq,,,schnitt,hat geschnitten,,,,Sie schneidet das Brot.
schwimmen,Verb,A2,suzmoq,,,schwamm,ist geschwommen,,,,Er schwimmt sehr gut.
singen,Verb,A2,qo'shiq aytmoq,,,sang,hat gesungen,,,,Sie singt sehr schön.
steigen,Verb,A2,ko'tarilmoq,,,stieg,ist gestiegen,,,,Die Preise steigen jedes Jahr.
sterben,Verb,A2,vafot etmoq,,,starb,ist gestorben,,,,Sein Großvater ist letztes Jahr gestorben.
treffen,Verb,A2,uchrashmoq,,,traf,hat getroffen,,,,Ich treffe meine Freunde im Café.
tun,Verb,A2,qilmoq,,,tat,hat getan,,,,Was tust du gerade?
üben,Verb,A2,mashq qilmoq,,,übte,hat geübt,,,,Ich übe jeden Tag Deutsch.
vergessen,Verb,A2,unutmoq,,,vergaß,hat vergessen,,,,Ich habe meinen Regenschirm vergessen.
verkaufen,Verb,A2,sotmoq,,,verkaufte,hat verkauft,,,,Er verkauft sein altes Auto.
verlassen,Verb,A2,tark etmoq,,,verließ,hat verlassen,,,,Sie verlässt die Stadt.
vorbereiten,Verb,A2,tayyorlamoq,,,bereitete vor,hat vorbereitet,,,,Ich bereite mich auf die Prüfung vor.
wechseln,Verb,A2,almashtirmoq,,,wechselte,hat gewechselt,,,,Ich wechsle das Geld.
wiederholen,Verb,A2,takrorlamoq,,,wiederholte,hat wiederholt,,,,Bitte wiederhole den Satz.
umziehen,Verb,A2,ko'chib o'tmoq,,,zog um,ist umgezogen,,,,Wir ziehen nächsten Monat um.
entscheiden,Verb,A2,qaror qilmoq,,,entschied,hat entschieden,,,,Ich habe mich entschieden.
passieren,Verb,A2,sodir bo'lmoq,,,passierte,ist passiert,,,,Was ist passiert?
bedeuten,Verb,A2,anglatmoq,,,bedeutete,hat bedeutet,,,,Was bedeutet dieses Wort?
bestehen,Verb,B1,topshirmoq (imtihon),,,bestand,hat bestanden,,,,Er hat die Prüfung bestanden.
betreffen,Verb,B1,taalluqli bo'lmoq,,,betraf,hat betroffen,,,,Das Problem betrifft uns alle.
beeinflussen,Verb,B1,ta'sir qilmoq,,,beeinflusste,hat beeinflusst,,,,Die Werbung beeinflusst die Menschen.
erreichen,Verb,B1,erishmoq,,,erreichte,hat erreicht,,,,Er hat sein Ziel erreicht.
ermöglichen,Verb,B1,imkon bermoq,,,ermöglichte,hat ermöglicht,,,,Die Technik ermöglicht neue Lösungen.
entwickeln,Verb,B1,rivojlantirmoq,,,entwickelte,hat entwickelt,,,,Die Firma entwickelt neue Produkte.
entstehen,Verb,B1,paydo bo'lmoq,,,entstand,ist entstanden,,,,So ist die Idee entstanden.
sich beschäftigen,Verb,B1,shug'ullanmoq,,,beschäftigte sich,hat sich beschäftigt,,,,Er beschäftigt sich mit Kunst.
