id,german,correct,wrong
1,der Apfel,olma,mashina
112,das Licht,yorug'lik,gul,mashina
113,der Fluss,daryo,oy,muz
114,die Brücke,ko'prik,stakan,telefon
115,das Papier,qog'oz,sumka,stol
116,der Himmel,osmon,muzlatgich,oyna
117,die Königin,qirolicha,telefon,non
118,das Theater,teatr,mashina,stul
119,der Sänger,qo'shiqchi,sumka,gul
120,die Sängerin,ayol qo'shiqchi,oy,qalam
121,das Lied,qo'shiq,telefon,oyna
122,der Film,film,muz,stakan
123,die Kamera,kamera,stol,daryo
124,das Museum,muzey,sumka,telefon
125,der Pilot,uchuvchi,gul,mashina
126,die Polizei,politsiya,oyna,non
127,das Flugzeug,samolyot,stul,muz
128,der Hafen,bandargoh,telefon,qalam
129,die Farm,ferma,oy,sumka
130,das Tier,hayvon,mashina,gul
131,der Löwe,sher,stakan,oyna
132,die Maus,sichqon,telefon,muz
133,das Schaf,qo'y,stol,qalam
134,der Käse,pishloq,sumka,daryo
135,die Butter,sariyog',telefon,oy
136,das Salz,tuz,muz,stakan
137,der Zucker,shakar,gul,oyna
138,die Erdbeere,qulupnay,telefon,stul
139,das Huhn,tovuq,sumka,mashina
140,der Reis,guruch,qalam,muz
141,die Kartoffel,kartoshka,oyna,telefon
142,das Öl,yog',stol,gul
143,der Bäcker,nonvoy,mashina,sumka
144,die Verkäuferin,sotuvchi ayol,muz,oy
145,das Regal,javon,telefon,stakan
146,der Kunde,mijoz,gul,oyna
147,die Rechnung,hisob-faktura,stul,sumka
148,das Büro,ofis,telefon,muz
149,der Kalender,taqvim,mashina,qalam
150,die Email,elektron pochta,oyna,gul
151,das Passwort,maxfiy kod,telefon,stul
152,der Drucker,printer,sumka,muz
153,die Datei,fayl,daryo,oy
154,das Internet,internet,stakan,telefon
155,der Bildschirm,monitor,mashina,gul
156,die Tastatur,klaviatura,oyna,stul
157,das Programm,dastur,telefon,sumka
158,der Akku,batareya,muz,qalam
159,die Batterie,element,oy,gul
160,das Kabel,sim,telefon,stakan
161,der Knopf,tugma,sumka,oyna
162,die Farbe,rang,mashina,muz
163,das Holz,yog'och,stol,telefon
164,der Stein,tosh,gul,qalam
165,die Erde,yer,oyna,sumka
166,das Metall,metall,muz,telefon
167,der Wind,shamol,stakan,mashina
168,die Temperatur,harorat,oy,gul
169,das Geräusch,shovqin,telefon,stul
170,der Traum,tush,sumka,muz
171,die Hoffnung,umid,qalam,oyna
172,das Glück,baxt,telefon,stakan
173,der Fehler,xato,mashina,gul
174,die Idee,g'oya,stul,sumka
175,das Ziel,maqsad,oy,muz
176,der Plan,reja,telefon,qalam
177,die Chance,imkoniyat,oyna,gul
178,das Ergebnis,natija,sumka,stakan
179,der Anfang,boshlanish,muz,telefon
180,die Mitte,o'rta,mashina,stol
181,das Ende,tugash,gul,oyna
182,der Besucher,mehmon,telefon,sumka
183,die Einladung,taklifnoma,stul,muz
184,das Geschenk,sovg'a,oy,qalam
185,der Geburtstag,tug'ilgan kun,telefon,gul
186,die Hochzeit,to'y,mashina,oyna
187,das Fest,bayram,sumka,stakan
188,der Tanz,raqs,muz,telefon
189,die Melodie,kuy,stul,gul
190,das Abenteuer,sarguzasht,oyna,qalam
191,der Sport,sport,telefon,sumka
192,die Mannschaft,jamoa,mashina,muz
193,das Training,mashg'ulot,gul,oy
194,der Sieger,g'olib,stakan,telefon
195,die Medaille,medal,sumka,oyna
196,das Turnier,turnir,muz,qalam
197,der Zuschauer,tomoshabin,telefon,stul
198,die Bühne,sahna,gul,mashina
199,das Orchester,orkestr,oyna,sumka
200,der Schauspieler,aktyor,muz,telefon
