level,lesson,teil,task_id,type,question,correct,wrong1,wrong2
A1,4,2,10,test,Der Lehrer erklärt ___ die Regel. (wir),uns,euch,ihnen
A1,4,2,11,test,Ich sehe ___. (ihr),euch,ihr,uns
A1,4,2,12,test,Ich gebe ___ Hausaufgaben. (ihr),euch,ihr,uns
A1,4,2,13,test,Peter besucht ___. (sie Pl.),sie,ihnen,ihr
A1,4,2,14,test,Peter hilft ___. (sie Pl.),ihnen,sie,ihr
A1,4,2,15,test,Sie ruft ___ an. (ich),mich,mir,dich
A1,4,2,16,test,Kannst du ___ helfen? (er),ihm,ihn,sie
A1,4,2,17,test,Ich lade ___ ein. (du),dich,dir,mich
A1,4,2,18,test,Wir danken ___. (ihr),euch,ihr,uns
A1,4,2,19,test,Der Arzt untersucht ___. (ich),mich,mir,dich
A1,4,2,20,test,Der Arzt gibt ___ ein Medikament. (ich),mir,mich,dir
A1,4,2,21,test,Ich mag ___. (er),ihn,ihm,sie
A1,4,2,22,test,Ich schreibe ___. (er),ihm,ihn,ihr
A1,4,2,23,test,Sie besucht ___. (wir),uns,euch,ihnen
A1,4,2,24,test,Sie hilft ___. (wir),uns,euch,ihnen
A1,4,2,25,test,Ich sehe ___. (ihr),sie,ihr,ihnen
A1,4,2,26,test,Ich gebe ___ ein Geschenk. (ihr),ihr,sie,ihm
A1,4,2,27,test,Der Lehrer kennt ___. (ihr),euch,ihr,uns
A1,4,2,28,test,Der Lehrer erklärt ___ alles. (ihr),euch,ihr,uns
A1,4,2,29,test,Wir besuchen ___. (sie Pl.),sie,ihnen,ihr
A1,4,2,30,test,Wir helfen ___. (sie Pl.),ihnen,sie,ihr
A1,5,1,1,test,___ heißt du?,Wie,Wo,Wer
A1,5,1,2,test,___ kommst du?,Woher,Wann,Warum
A1,5,1,3,test,___ wohnst du?,Wo,Wie,Wer
A1,5,1,4,test,___ alt bist du?,Wie,Wo,Was
A1,5,1,5,test,___ ist dein Lehrer?,Wer,Wo,Wann
A1,5,1,6,test,___ lernst du Deutsch?,Warum,Wo,Wer
A1,5,1,7,test,___ Uhr ist es?,Wie viel,Woher,Warum
A1,5,1,8,test,___ machst du am Wochenende?,Was,Wer,Wo
A1,5,1,9,test,___ gehst du zur Schule?,Wann,Wo,Wie
A1,5,1,10,test,___ kostet das Buch?,Wie viel,Warum,Wo
A1,5,1,11,test,___ du Student?,Bist,Hast,Wohnst
A1,5,1,12,test,___ ihr Deutsch?,Lernt,Seid,Kommt
A1,5,1,13,test,___ er in Deutschland?,Wohnt,Heißt,Lernt
A1,5,1,14,test,___ sie eine Katze?,Hat,Ist,Wohnt
A1,5,1,15,test,___ du heute Zeit?,Hast,Bist,Kommst
A1,5,1,16,test,___ wir morgen Unterricht?,Haben,Sind,Lernen
A1,5,1,17,test,___ ihr aus Berlin?,Kommt,Habt,Lernt
A1,5,1,18,test,___ das dein Buch?,Ist,Hat,Wohnt
A1,5,1,19,test,___ sie Fußball?,Spielt,Lernt,Wohnt
A1,5,1,20,test,___ du Kaffee?,Magst,Hast,Bist
A1,5,2,1,test,Wie spät ist es? 08:00,Es ist acht Uhr.,Es ist neun Uhr.,Es ist sieben Uhr.
A1,5,2,2,test,Wie spät ist es? 10:00,Es ist zehn Uhr.,Es ist elf Uhr.,Es ist neun Uhr.
A1,5,2,3,test,Wie spät ist es? 14:00,Es ist vierzehn Uhr.,Es ist zwölf Uhr.,Es ist fünfzehn Uhr.
A1,5,2,4,test,Wie spät ist es? 06:00,Es ist sechs Uhr.,Es ist fünf Uhr.,Es ist sieben Uhr.
A1,5,2,5,test,Wie spät ist es? 20:00,Es ist zwanzig Uhr.,Es ist acht Uhr.,Es ist neunzehn Uhr.
A1,5,2,6,test,08:15 ist ...,Viertel nach acht.,Viertel vor acht.,Halb neun.
A1,5,2,7,test,09:15 ist ...,Viertel nach neun.,Viertel vor neun.,Halb zehn.
A1,5,2,8,test,07:30 ist ...,Halb acht.,Halb sieben.,Viertel nach sieben.
A1,5,2,9,test,10:30 ist ...,Halb elf.,Halb zehn.,Viertel vor elf.
A1,5,2,10,test,05:30 ist ...,Halb sechs.,Halb fünf.,Viertel nach fünf.
A1,5,2,11,test,08:45 ist ...,Viertel vor neun.,Viertel nach acht.,Halb neun.
A1,5,2,12,test,11:45 ist ...,Viertel vor zwölf.,Viertel nach elf.,Halb zwölf.
A1,5,2,13,test,16:45 ist ...,Viertel vor fünf.,Viertel nach vier.,Halb fünf.
A1,5,2,14,test,Um wie viel Uhr beginnt der Unterricht? 08:00,Um acht Uhr.,Um neun Uhr.,Um sieben Uhr.
A1,5,2,15,test,Um wie viel Uhr isst du zu Mittag? 12:00,Um zwölf Uhr.,Um zehn Uhr.,Um vierzehn Uhr.
A1,5,2,16,test,Welches Wort bedeutet 'soat'?,Uhr,Minute,Tag
A1,5,2,17,test,Welches Wort bedeutet 'minut'?,Minute,Uhr,Sekunde
A1,5,2,18,test,Wie fragt man nach der Uhrzeit?,Wie spät ist es?,Wie heißt du?,Wo wohnst du?
A1,5,2,19,test,13:00 ist ...,Es ist dreizehn Uhr.,Es ist drei Uhr.,Es ist zwölf Uhr.
A1,5,2,20,test,22:00 ist ...,Es ist zweiundzwanzig Uhr.,Es ist zwanzig Uhr.,Es ist zwölf Uhr.
A1,6,1,1,test,Ich ___ Deutsch sprechen.,kann,muss,will
A1,6,1,2,test,Du ___ Hausaufgaben machen.,musst,kannst,willst
A1,6,1,3,test,Er ___ ein Buch lesen.,will,kann,mag
A1,6,1,4,test,Wir ___ Filme sehen.,mögen,wollen,müssen
A1,6,1,5,test,Ihr ___ jetzt kommen.,dürft,könnt,müsst
A1,6,1,6,test,Sie ___ mir helfen.,soll,sollt,musst
A1,6,1,7,test,Ich ___ Kaffee trinken.,mag,muss,will
A1,6,1,8,test,Du ___ eine Frage stellen.,darfst,kannst,musst
A1,6,1,9,test,Er ___ Auto fahren.,kann,darf,muss
A1,6,1,10,test,Wir ___ zu Hause bleiben.,wollen,mögen,müssen
A1,6,1,11,test,Ihr ___ schnell laufen.,könnt,dürft,müsst
A1,6,1,12,test,Sie ___ Ruhe haben.,mögen,wollen,können
A1,6,1,13,test,Ich ___ arbeiten.,muss,will,mag
A1,6,1,14,test,Du ___ schlafen.,willst,musst,darfst
A1,6,1,15,test,Er ___ essen.,darf,kann,muss
A1,6,1,16,test,Wir ___ lernen.,sollen,müssen,wollen
A1,6,1,17,test,Ihr ___ Fragen beantworten.,müsst,könnt,dürft
A1,6,1,18,test,Sie ___ Deutsch sprechen.,können,müssen,wollen
A1,6,1,19,test,Ich ___ Fußball spielen.,kann,will,muss
A1,6,1,20,test,Du ___ zum Arzt gehen.,musst,darfst,willst
A1,6,1,21,test,Er ___ mir helfen.,soll,kann,mag
A1,6,1,22,test,Wir ___ warten.,dürfen,sollen,müssen
A1,6,1,23,test,Ihr ___ Musik hören.,mögt,wollt,müsst
A1,6,1,24,test,Sie ___ zu Hause bleiben.,wollen,mögen,können
A1,6,1,25,test,Ich ___ ein Buch lesen.,mag,will,muss
A1,6,1,26,test,Du ___ gehen.,darfst,musst,kannst
A1,6,1,27,test,Er ___ eine Frage stellen.,kann,darf,muss
A1,6,1,28,test,Wir ___ antworten.,sollen,wollen,können
A1,6,1,29,test,Ihr ___ essen.,dürft,könnt,müsst
A1,6,1,30,test,Sie ___ lernen.,müssen,wollen,können
A1,6,2,1,test,Ich habe ___ Auto.,kein,nicht,keinen
A1,6,2,2,test,Du hast ___ Katze.,keine,kein,nicht
A1,6,2,3,test,Er hat ___ Hund.,keinen,kein,nicht
A1,6,2,4,test,Wir haben ___ Zeit.,keine,nicht,kein
A1,6,2,5,test,Ihr habt ___ Bücher.,keine,kein,nicht
A1,6,2,6,test,Sie hat ___ Haus.,kein,keine,nicht
A1,6,2,7,test,Ich bin ___ müde.,nicht,kein,keine
A1,6,2,8,test,Du kommst ___ heute.,nicht,kein,keine
A1,6,2,9,test,Er lernt ___ Deutsch.,nicht,kein,keine
A1,6,2,10,test,Wir wohnen ___ in Berlin.,nicht,kein,keine
A1,6,2,11,test,Ich habe ___ Bruder.,keinen,kein,nicht
A1,6,2,12,test,Du hast ___ Schwester.,keine,kein,nicht
A1,6,2,13,test,Er hat ___ Fahrrad.,kein,keinen,nicht
A1,6,2,14,test,Wir haben ___ Hund.,keinen,kein,nicht
A1,6,2,15,test,Ihr habt ___ Schule heute.,keine,kein,nicht
A1,6,2,16,test,Sie trinkt ___ Kaffee.,keinen,kein,nicht
A1,6,2,17,test,Ich esse ___ Fleisch.,kein,nicht,keine
A1,6,2,18,test,Du spielst ___ Fußball.,nicht,kein,keine
A1,6,2,19,test,Er arbeitet ___ am Sonntag.,nicht,kein,keine
A1,6,2,20,test,Wir sprechen ___ Englisch.,nicht,kein,keine
A1,6,2,21,test,Ich habe ___ Freunde in Berlin.,keine,kein,nicht
A1,6,2,22,test,Du hast ___ Problem.,kein,keinen,nicht
A1,6,2,23,test,Er kauft ___ Apfel.,keinen,kein,nicht
A1,6,2,24,test,Wir haben ___ Auto.,kein,keinen,nicht
A1,6,2,25,test,Ihr habt ___ Fragen.,keine,kein,nicht
A1,6,2,26,test,Sie liest ___ Buch.,kein,keinen,nicht
A1,6,2,27,test,Ich bin ___ Lehrer.,kein,nicht,keinen
A1,6,2,28,test,Du bist ___ krank.,nicht,kein,keine
A1,6,2,29,test,Er ist ___ Student.,kein,nicht,keinen
A1,6,2,30,test,Wir sind ___ zu Hause.,nicht,kein,keine
A1,7,1,1,test,Ich ___ gestern krank.,war,hatte,bin
A1,7,1,2,test,Du ___ viel Zeit.,hattest,hast,warst
A1,7,1,3,test,Er ___ zu Hause.,war,ist,hatte
A1,7,1,4,test,Wir ___ viele Bücher.,hatten,haben,waren
A1,7,1,5,test,Ihr ___ gestern müde.,wart,seid,hattet
A1,7,1,6,test,Sie ___ im Urlaub.,waren,sind,hatten
A1,7,1,7,test,Ich ___ einen Hund.,hatte,habe,war
A1,7,1,8,test,Du ___ gestern in Berlin.,warst,bist,hattest
A1,7,1,9,test,Er ___ keine Hausaufgaben.,hatte,hat,war
A1,7,1,10,test,Wir ___ sehr glücklich.,waren,sind,hatten
A1,7,1,11,test,Ihr ___ ein neues Auto.,hattet,habt,wart
A1,7,1,12,test,Sie ___ gestern zu Hause.,waren,sind,hatten
A1,7,1,13,test,Ich ___ keine Zeit.,hatte,habe,war
A1,7,1,14,test,Du ___ sehr freundlich.,warst,bist,hattest
A1,7,1,15,test,Er ___ viele Freunde.,hatte,hat,war
A1,7,1,16,test,Wir ___ in der Schule.,waren,sind,hatten
A1,7,1,17,test,Ihr ___ gestern krank.,wart,seid,hattet
A1,7,1,18,test,Sie ___ ein großes Haus.,hatten,haben,waren
A1,7,1,19,test,Ich ___ im Kino.,war,bin,hatte
A1,7,1,20,test,Du ___ viele Fragen.,hattest,hast,warst
A1,7,1,21,test,Er ___ gestern müde.,war,ist,hatte
A1,7,1,22,test,Wir ___ keine Probleme.,hatten,haben,waren
A1,7,1,23,test,Ihr ___ im Garten.,wart,seid,hattet
A1,7,1,24,test,Sie ___ viel Arbeit.,hatten,haben,waren
A1,7,1,25,test,Ich ___ gestern zu Hause.,war,bin,hatte
A1,7,1,26,test,Du ___ einen Bruder.,hattest,hast,warst
A1,7,1,27,test,Er ___ in Deutschland.,war,ist,hatte
A1,7,1,28,test,Wir ___ keine Katze.,hatten,haben,waren
A1,7,1,29,test,Ihr ___ sehr nett.,wart,seid,hattet
A1,7,1,30,test,Sie ___ gestern hier.,waren,sind,hatten
A1,8,1,1,test,Ich habe Deutsch ___.,gelernt,lernen,lernte
A1,8,1,2,test,Du hast im Büro ___.,gearbeitet,arbeiten,arbeitet
A1,8,1,3,test,Wir haben oft im Park ___.,gespielt,spielen,spielte
A1,8,1,4,test,Er hat heute Abend Pizza ___.,gekocht,kochen,kochte
A1,8,1,5,test,Ihr habt gerne Musik ___.,getanzt,tanzen,tanzte
A1,8,1,6,test,Sie hat auf den Bus ___.,gewartet,warten,wartete
A1,8,1,7,test,Ich habe immer auf Fragen ___.,geantwortet,antworten,antwortete
A1,8,1,8,test,Du hast viele Fragen ___.,gefragt,fragen,fragte
A1,8,1,9,test,Wir haben unsere Freunde ___.,besucht,besuchen,besuchte
A1,8,1,10,test,Er hat Radio ___.,gehört,hören,hörte
A1,8,1,11,test,Ihr habt miteinander ___.,gesprochen,sprechen,sprach
A1,8,1,12,test,Ich habe Brot im Supermarkt ___.,gekauft,kaufen,kaufte
A1,8,1,13,test,Du hast jeden Tag Klavier ___.,geübt,üben,übte
A1,8,1,14,test,Wir haben lange im Garten ___.,gearbeitet,arbeiten,arbeitete
A1,8,1,15,test,Sie hat viel für die Schule ___.,gelernt,lernen,lernte
A1,8,1,16,test,Ich habe jeden Morgen Sport ___.,gemacht,machen,machte
A1,8,1,17,test,Er hat gern Fußball ___.,gespielt,spielen,spielte
A1,8,1,18,test,Ihr habt oft am Wochenende ___.,getanzt,tanzen,tanzte
A1,8,1,19,test,Du hast für das Abendessen ___.,gekocht,kochen,kochte
A1,8,1,20,test,Wir haben auf den Zug ___.,gewartet,warten,wartete
A1,8,2,1,test,Ich habe viel ___.,gesehen,sehen,sah
A1,8,2,2,test,Du bist nach Berlin ___.,gefahren,fahren,fuhr
A1,8,2,3,test,Wir haben das Buch ___.,gelesen,lesen,las
A1,8,2,4,test,Er ist gestern ins Kino ___.,gegangen,gehen,ging
A1,8,2,5,test,Ihr seid hoch in den Himmel ___.,geflogen,fliegen,flog
A1,8,2,6,test,Sie hat den Ball ___.,genommen,nehmen,nahm
A1,8,2,7,test,Ich habe den Hund ___.,gefunden,finden,fand
A1,8,2,8,test,Du bist spät nach Hause ___.,gekommen,kommen,kam
A1,8,2,9,test,Wir haben das Geschenk ___.,gegeben,geben,gab
A1,8,2,10,test,Er hat die Aufgabe ___.,vergessen,vergisst,vergaß
A1,8,2,11,test,Ihr seid im Garten ___.,gelaufen,laufen,lief
A1,8,2,12,test,Sie hat die Stadt ___.,gesehen,sehen,sah
A1,8,2,13,test,Ich habe meine Schlüssel ___.,verloren,verlieren,verlor
A1,8,2,14,test,Du hast gestern Abend Pizza ___.,gegessen,essen,aß
A1,8,2,15,test,Wir sind viel im Urlaub ___.,gefahren,fahren,fuhr
A1,8,2,16,test,Er ist nach Hause ___.,gegangen,gehen,ging
A1,8,2,17,test,Ich habe das Bild ___.,gesehen,sehen,sah
A1,8,2,18,test,Ihr habt den Ball ___.,geworfen,werfen,warf
A1,8,2,19,test,Sie ist auf die Idee ___.,gekommen,kommen,kam
A1,8,2,20,test,Du hast das Lied ___.,gesungen,singen,sang
A1,8,3,1,test,Ich habe im Supermarkt ___.,eingekauft,einkaufen,kaufte ein
A1,8,3,2,test,Du hast dein Zimmer ___.,aufgeräumt,aufräumen,räumte auf
A1,8,3,3,test,Wir haben die Tür ___.,zugemacht,zumachen,machte zu
A1,8,3,4,test,Er hat das Geschenk ___.,mitgebracht,mitbringen,brachte mit
A1,8,3,5,test,Ihr seid früh am Morgen ___.,aufgestanden,aufstehen,stand auf
A1,8,3,6,test,Sie hat mich gestern ___.,angerufen,anrufen,rief an
A1,8,3,7,test,Ich habe die Wohnung ___. ,aufgeräumt,aufräumen,räumte auf
A1,8,3,8,test,Du hast Lebensmittel ___.,eingekauft,einkaufen,kaufte ein
A1,8,3,9,test,Wir haben zusammen im Projekt ___.,mitgemacht,mitmachen,machte mit
A1,8,3,10,test,Er hat aufmerksam ___. ,zugehört,zuhören,hörte zu
A1,8,3,11,test,Ich habe die Aufgabe ___. ,verstanden,verstehen,verstand
A1,8,3,12,test,Du hast das Restaurant ___. ,empfohlen,empfehlen,empfahl
A1,8,3,13,test,Wir haben unsere Freunde ___. ,besucht,besuchen,besuchte
A1,8,3,14,test,Er hat die Rechnung ___. ,bezahlt,bezahlen,bezahlte
A1,8,3,15,test,Ihr habt den Plan ___. ,erklärt,erklären,erklärte
A1,8,3,16,test,Sie hat die Regeln ___. ,gehört,hören,hörte
A1,8,3,17,test,Ich habe ein Paket ___. ,bekommen,bekommen,bekam
A1,8,3,18,test,Du hast den Schlüssel ___. ,verloren,verlieren,verlor
A1,8,3,19,test,Wir haben eine tolle Erfahrung ___. ,erlebt,erleben,erlebte
A1,8,3,20,test,Er hat ein neues Museum ___. ,entdeckt,entdecken,entdeckte
A1,9,1,1,test,Ich bin ___ Schule.,in der,in die,zur
A1,9,1,2,test,Ich gehe ___ Schule.,zur,in der,bei der
A1,9,1,3,test,Er arbeitet ___ Arbeit.,bei der,in der,zur
A1,9,1,4,test,Wir gehen ___ Arbeit.,zur,bei der,in der
A1,9,1,5,test,Sie lebt ___ Deutschland.,in,nach,zu
A1,9,1,6,test,Er fährt ___ Deutschland.,nach,in,zu
A1,9,1,7,test,Das Buch liegt ___ Tisch.,auf dem,auf den,in dem
A1,9,1,8,test,Ich lege das Buch ___ Tisch.,auf den,auf dem,in den
A1,9,1,9,test,Die Kinder sind ___ Park.,in dem,in den,zu dem
A1,9,1,10,test,Die Kinder gehen ___ Park.,in den,in dem,zu dem
A1,9,1,11,test,Meine Mutter ist ___ Küche.,in der,in die,zur
A1,9,1,12,test,Meine Mutter geht ___ Küche.,in die,in der,zu der
A1,9,1,13,test,Wir sind ___ Markt.,auf dem,auf den,in den
A1,9,1,14,test,Wir gehen ___ Markt.,auf den,auf dem,bei dem
A1,9,1,15,test,Er ist ___ Arzt.,beim,zum,bei den
A1,9,1,16,test,Er geht ___ Arzt.,zum,beim,bei dem
A1,9,1,17,test,Sie sind ___ Party.,auf der,auf die,zur
A1,9,1,18,test,Sie gehen ___ Party.,auf die,auf der,zur
A1,9,1,19,test,Ich bin ___ Hause.,zu,nach,in
A1,9,1,20,test,Ich gehe ___ Hause.,nach,zu,in
A1,9,1,21,test,Das Bild hängt ___ Wand.,an der,an die,auf der
A1,9,1,22,test,Ich hänge das Bild ___ Wand.,an die,an der,auf die
A1,9,1,23,test,Wir sind ___ Schweiz.,in der,in die,nach
A1,9,1,24,test,Wir fahren ___ Schweiz.,in die,nach,in der
A1,9,1,25,test,Er ist ___ Meer.,am,an das,im
A1,9,1,26,test,Wir fahren ___ Meer.,ans,am,an das
A1,9,1,27,test,Sie arbeitet ___ Hause aus.,von zu,von dem,bei
A1,9,1,28,test,Er sitzt ___ Fenster.,am,an dem,bei dem
A1,9,1,29,test,Ich gehe ___ Kino.,ins,im,in dem
A1,9,1,30,test,Wir sind ___ Kino.,im,ins,zum
A1,10,1,1,test,Der gut__ Mann arbeitet im Büro.,-e,-er,-en
A1,10,1,2,test,Die schön__ Frau wohnt in Berlin.,-e,-er,-en
A1,10,1,3,test,Das klein__ Kind schläft jetzt.,-e,-es,-en
A1,10,1,4,test,Ich sehe den alt__ Mann im Park.,-en,-er,-e
A1,10,1,5,test,Ich helfe dem gut__ Freund heute.,-en,-em,-er
A1,10,1,6,test,Das Dach der neu__ Schule ist groß.,-en,-e,-er
A1,10,1,7,test,Die jung__ Leute lernen Deutsch.,-en,-e,-er
A1,10,1,8,test,Ich spreche mit den gut__ Kindern.,-en,-e,-er
